name,location,nearest highway,dist to highway,prev point,next point,dist to prev point,dist to next point,elevation,gradient prev,gradient next,capacity,capacity count
396296,"57.92478, 14.32049","57.92132, 14.31351",0.7,r1_p20,r1_p21,12.4,17.9,158.4979248046875,0.0034580687256002,0.002395531159077,"50,50,22","2,2,1"
22mr3,"59.275063, 15.177728","59.273954, 15.178668",0.8,r3_p42,r3_p43,4.8,5.1,29.39267730712891,-0.0047555268240696,-0.0044757880257153,350,6
23d6j,"59.61468, 16.57641","59.6142218, 16.572012",0.8,r3_p47,r3_p48,3.9,0.081,17.61341667175293,-0.0066166167218211,-0.324226325993031,"50,50,43","1,1,1"
25jn8k,"58.420853, 13.875119","58.39489011798868, 13.873343444113067 ",3.9,r2_p17,r2_p18,0.092,1.7,124.7915649414062,0.0247750125977296,0.0013406286328548,150,2
25p56g,"59.84441, 17.730461","59.830110, 17.736933 ",2.3,r1_p44,r1_p45,36.1,2.5,12.78934001922607,-0.0002091382694432,-0.0030199611791673,150,6
25wzxj,"57.719977, 12.971789","57.71926, 12.96782",0.4,r1_p5,r1_p6,2.6,1.1,163.7732238769531,0.0102687058089281,0.0242734434853976,"300,6","4,2"
26wqy,"58.746799, 16.995163","58.74903, 16.97043",1.9,r1_p28,r1_p29,11.1,5.3,9.204654693603516,0.0001457362566771,0.000305221220473,"150,100,22","2,2,2"
28npwk,"59.63752, 17.07791","59.654025, 17.073535",2.5,r3_p51,r3_p52,1.6,5.1,36.15130233764648,0.0069195846569238,0.0021708344698858,"50,50,43","1,1,1"
28zxep,"59.848957, 17.660295","59.84524, 17.667745",0.8,r1_p46,r1_p47,2.1,3.9,3.457768678665161,-0.0018152690820626,-0.0009774522014769,"50,5","2,2"
2j2eej,"58.433701, 15.588425","58.43864, 15.57402",1.7,r1_p24,r1_p25,5.4,34.1,38.74942398071289,-0.0070909946022638,-0.0011229049268105,"300,50,50","4,2,2"
2j6gp5,"57.74109, 12.126048","57.739669, 12.125790",0.7,r3_p2,r3_p3,6.5,2.2,12.18921947479248,-0.0003618858122952,-0.0010692082621648,"50,50,22","1,1,2"
2z3xx,"59.613603, 16.467375","59.609703, 16.470216",1.4,r3_p46,r3_p47,2.6,3.3,27.53024291992188,-0.0053184481239052,-0.0041902849694283,"50,50,22","2,2,4"
397r3j,"59.270528, 15.175194","59.273954, 15.178668",2.1,r3_p42,r3_p43,4.8,5.1,29.39267730712891,-0.0047555268240696,-0.0044757880257153,150,6
39e5kp,"57.788846, 14.265471","57.78767, 14.25835",0.7,r1_p19,r1_p20,0.1,3.7,106.0587692260742,0.0034717629557138,9.383124287944396e-05,150,4
39ej7e,"59.299715, 18.011615","59.296363, 18.004577",1.8,r1_p37,r1_p38,0.9,12.1,44.69729995727539,0.0028750522803251,0.0002138465708487,"300,6","4,2"
3jd2q,"58.227074, 14.668253","58.22665, 14.66361",0.7,r1_p22,r1_p23,6.9,26.0,141.6174163818359,-0.00172338819812,-0.0004573605036628,150,14
3qg2q,"58.685551, 13.845325","58.68435, 13.845473",0.5,r3_p24,r3_p25,9.5,8.9,63.88216018676758,-0.00059903961552,-0.0006394243140313,350,6
3ydn9k,"58.677207, 13.814598","58.675199, 13.817232",1.1,r3_p24,r3_p25,7.5,9.9,58.0,-0.0015430721048737,-0.0011689938211815,250,16
55zjrd,"58.323871, 15.09116","58.32502, 15.089637",0.8,r1_p23,r1_p24,2.1,26.1,125.0952072143555,-0.0063644802520887,-0.0005120811832361,"50,50,22","1,1,2"
58pex,"57.8128, 13.4183","57.80916, 13.42126",0.8,r1_p8,r1_p9,3.2,7.3,172.5482788085938,-0.0217067884578612,-0.0095147008624016,350,6
5npmrn,"58.43111, 15.584546","58.43864, 15.57402",1.4,r1_p24,r1_p25,5.4,34.1,38.74942398071289,-0.0070909946022638,-0.0011229049268105,"300,6","4,2"
5nyw3k,"59.250107, 15.197427","59.236771, 15.145090",4.3,r3_p42,r3_p43,0.1,9.9,51.36089706420898,-0.0085823349712914,-8.668918813138605e-05,"180,22","2,1"
5wd6y,"59.610415, 16.46276","59.609703, 16.470216",1.9,r3_p46,r3_p47,2.6,3.3,27.53024291992188,-0.0053184481239052,-0.0041902849694283,"50,50,22","1,1,8"
5wm9k,"58.051829, 14.507365","58.04993, 14.50489",0.6,r1_p21,r1_p22,3.7,15.5,271.9061279296875,0.0078861620971142,0.0018824848095487,"50,50,43","1,1,1"
5wyp3,"59.615011, 16.228658","59.587745, 16.2086658",4.9,r3_p44,r3_p45,14.7,9.1,14.78045082092285,0.0003237989702818,0.0005230598897813,"50,50,22","1,1,4"
5y68yw,"58.227232, 14.6710951","58.22665, 14.66361",0.5,r1_p22,r1_p23,6.9,26.0,141.6174163818359,-0.00172338819812,-0.0004573605036628,"50,50,22","1,1,2"
5yggr9,"58.56846, 16.08026","58.56663, 16.07184",0.6,r1_p25,r1_p26,1.6,18.4,33.92707061767578,0.0027082059109794,0.0002354958804792,"300,75","4,1"
62zdzm,"59.298604, 15.207224","59.29332, 15.198374",1.4,r3_p42,r3_p43,7.3,2.6,29.32423210144043,-0.0031362911586054,-0.0088058399291877,"50,43,22","2,1,1"
6352mj,"57.78328, 14.233975","57.7847, 14.23397",0.3,r1_p18,r1_p19,5.6,2.3,110.3734436035156,0.0027115814195566,0.0066021511546361,150,2
635xyy,"57.929497, 12.56303","57.930159, 12.559605",0.2,r3_p9,r3_p10,0.8,0.032,65.20503234863281,-0.0035644415993588,-0.0892292091165759,"50,22","2,2"
63m6rq,"58.405692, 15.56034","58.43335, 15.52325",4.4,r1_p24,r1_p25,2.4,36.7,56.77128982543945,-0.0084455937811659,-0.0005522938731061,"300,6","4,2"
68knx,"58.581737, 16.144091","58.5784, 16.10696",2.4,r1_p25,r1_p26,4.0,12.5,22.0,-0.0018984877546663,-0.0006075157539225,"50,50,44","2,2,2"
68kxj,"59.426384, 15.827981","59.423927, 15.819223",0.9,r3_p43,r3_p44,37.5,17.0,17.99503135681152,-0.0004475458421701,-0.0009872336027833,"50,50,22","1,1,4"
6k2qdk,"59.518607, 15.968695","59.520448, 15.968493",0.7,r3_p43,r3_p44,53.3,1.6,6.277974605560303,-0.0005347096928792,-0.0178134578725589,"225,50,50","2,1,1"
6qq8e,"58.3724, 15.2941","58.36835, 15.29032",1.0,r1_p23,r1_p24,14.9,13.3,90.06070709228516,-0.0032483156735617,-0.0036390921238325,350,6
6qwm3,"58.32299, 15.08892","58.32502, 15.089637",0.8,r1_p23,r1_p24,2.1,26.1,125.0952072143555,-0.0063644802520887,-0.0005120811832361,"50,50,43","1,1,1"
6yp57,"59.653676, 17.083674","59.654025, 17.073535",0.8,r3_p51,r3_p52,1.6,5.1,36.15130233764648,0.0069195846569238,0.0021708344698858,350,6
7e9736,"59.470548, 17.9142","59.466837, 17.91164",0.7,r1_p42,r1_p43,2.8,0.9,25.6284294128418,-0.004828202069151,-0.0150215796682143,"120,22","2,4"
7epwm5,"57.73299, 12.93892","57.717247, 12.931939",2.3,r1_p5,r1_p6,0.4,3.3,138.3333587646484,0.0031457571414133,0.0003813032762852,"50,50,43","1,1,1"
7n3zmw,"58.4318, 15.6618","58.43239, 15.66351",2.5,r1_p24,r1_p25,10.7,29.9,37.96247482299805,-0.0036521575688951,-0.0013069568642168,350,2
7pgrg,"58.918156, 17.367987","58.903311, 17.311496",4.3,r1_p29,r1_p30,22.4,30.0,22.29459953308105,-0.0003887251543123,-0.0002902481119854,150,8
7w69ny,"57.729703, 12.938225","57.717247, 12.931939",2.3,r1_p5,r1_p6,0.4,3.3,138.3333587646484,0.0031457571414133,0.0003813032762852,,
7w6dwk,"58.56871, 16.07959","58.56663, 16.07184",0.5,r1_p25,r1_p26,1.6,18.4,33.92707061767578,0.0027082059109794,0.0002354958804792,"50,50,22","1,1,1"
8kzwp,"57.785445, 14.235369","57.7847, 14.23397",0.2,r1_p18,r1_p19,5.6,2.3,110.3734436035156,0.0027115814195566,0.0066021511546361,"50,50,43","1,1,1"
8n25p3,"58.041065, 12.800564","58.041217, 12.796461",0.8,r3_p13,r3_p14,2.4,1.2,101.8994140625,-0.0010549801558195,-0.0021099614858165,"50,50,22","1,1,3"
8ngk5q,"59.216318, 15.136228","59.211366, 15.1305346",1.3,r3_p40,r3_p41,32.7,19.6,49.36370468139648,-0.0013597133288277,-0.0022685025656628,"120,22","2,4"
8nrnz8,"59.426934, 15.828759","59.423927, 15.819223",0.9,r3_p43,r3_p44,37.5,17.0,17.99503135681152,-0.0004475458421701,-0.0009872336027833,"300,50,50","6,2,2"
8nxg9g,"59.324939, 18.002944","59.32996, 18.009916",2.1,r1_p37,r1_p38,5.9,7.9,26.28384208679199,-0.0026823615866148,-0.0020032816415444,"50,50,22","4,4,4"
8p8z9y,"59.339498, 18.032754","59.344519, 18.017781 ",2.1,r1_p37,r1_p38,8.0,4.9,17.09814262390137,-0.0031264568241053,-0.0051044331551183,"50,5","4,4"
8pey7q,"59.340251, 18.065444","59.34876, 18.03569",3.0,r1_p37,r1_p38,9.3,4.1,20.57071685791016,-0.0023160278352339,-0.0052534484602744,,
8ppxjm,"57.679825, 12.310765","57.68357, 12.30302",0.7,r1_p2,r1_p3,16.7,3.2,123.8398895263672,0.0013175365125363,0.0068759458662429,150,6
95rz7,"59.272522, 17.909685","59.26957, 17.91111",2.0,r1_p33,r1_p34,1.0,0.5,33.6859245300293,-0.0166435067243901,-0.0332916260415519,"50,50,43","1,1,1"
96j956,"58.773568, 17.022961","58.77116, 17.02257",1.0,r1_p28,r1_p29,3.8,6.4,26.9039421081543,0.0050834323826407,0.0030182795605613,"50,50,22","1,1,2"
96jknd,"59.88575, 17.66724","59.830110, 17.736933 ",8.9,r1_p44,r1_p45,36.1,2.5,12.78934001922607,-0.0002091382694432,-0.0030199611791673,"50,50,43","1,1,1"
96jkx9,"57.657663, 12.115388","57.67279, 12.08643",3.1,r1_p2,r1_p3,3.3,16.5,69.43002319335938,-0.0098204648006949,-0.001964062653012,"50,50,43","1,1,1"
998ngz,"58.226866, 14.669616","58.22665, 14.66361",0.6,r1_p22,r1_p23,6.9,26.0,141.6174163818359,-0.00172338819812,-0.0004573605036628,150,6
99g9re,"59.595324, 16.500608","59.609703, 16.470216",2.6,r3_p46,r3_p47,2.6,3.3,27.53024291992188,-0.0053184481239052,-0.0041902849694283,"300,6","4,2"
99m7gj,"57.72092, 12.97436","57.71926, 12.96782",0.5,r1_p5,r1_p6,2.6,1.1,163.7732238769531,0.0102687058089281,0.0242734434853976,"300,75","4,1"
99w3kx,"57.723625, 12.987397","57.72400, 12.98843",0.6,r1_p6,r1_p7,0.6,2.6,189.6680908203125,0.0032906400939499,0.0007593771857383,"50,50,22","1,1,1"
9ddxq,"57.814044, 13.418968","57.80916, 13.42126",0.7,r1_p8,r1_p9,3.2,7.3,172.5482788085938,-0.0217067884578612,-0.0095147008624016,150,20
9kqwmg,"57.780294, 14.226728","57.77726, 14.21751",0.9,r1_p18,r1_p19,4.3,2.8,118.7862396240234,0.0054878492578012,0.0084278259692501,150,6
9wqm9,"58.418668, 13.878876","58.39489011798868, 13.873343444113067 ",4.1,r2_p17,r2_p18,0.092,1.7,124.7915649414062,0.0247750125977296,0.0013406286328548,"50,22","2,6"
d89pk,"58.918640, 17.368941 ","58.903311, 17.311496",4.2,r1_p29,r1_p30,22.4,30.0,22.29459953308105,-0.0003887251543123,-0.0002902481119854,"50,50,43","1,1,1"
d89zg,"58.985438, 14.618477","58.981656, 14.623559",0.7,r3_p36,r3_p37,0.3,1.0,105.2623901367188,-0.0100471915381704,-0.0030141113142861,"50,50,43,22","1,1,1,2"
d9m9ng,"58.9828, 14.6249","58.981656, 14.623559",0.2,r3_p36,r3_p37,0.3,1.0,105.2623901367188,-0.0100471915381704,-0.0030141113142861,"50,50,22","1,1,1"
d9qxyd,"57.677145, 12.026917","57.67900, 12.02156",0.5,r1_p1,r1_p2,3.7,0.7,72.24051666259766,0.0154348076112085,0.081671508208921,"50,50,22","1,1,1"
degky,"58.432757, 15.582938","58.43864, 15.57402",1.1,r1_p24,r1_p25,5.4,34.1,38.74942398071289,-0.0070909946022638,-0.0011229049268105,"50,50,43","1,1,1"
dn5y57,"58.694054, 13.817368","58.675199, 13.817232",2.6,r3_p24,r3_p25,7.5,9.9,58.0,-0.0015430721048737,-0.0011689938211815,"50,50,43","1,1,1"
dn86nw,"58.324755, 15.092822","58.32502, 15.089637",0.9,r1_p23,r1_p24,2.1,26.1,125.0952072143555,-0.0063644802520887,-0.0005120811832361,"150,6","5,1"
dpy8q,"59.297237, 15.204012","59.29332, 15.198374",1.0,r3_p42,r3_p43,7.3,2.6,29.32423210144043,-0.0031362911586054,-0.0088058399291877,"50,50,43","1,1,1"
drrd5g,"57.936049, 12.573084","57.930159, 12.559605",1.1,r3_p9,r3_p10,0.8,0.032,65.20503234863281,-0.0035644415993588,-0.0892292091165759,350,1
drrnky,"57.934564, 12.546738","57.926671, 12.545038",1.1,r3_p8,r3_p9,0.1,0.2,67.0,-0.0083023262126144,-0.0041511273394098,"50,50,22","1,1,1"
e2zx8,"58.233323, 14.671045","58.22665, 14.66361",1.4,r1_p22,r1_p23,6.9,26.0,141.6174163818359,-0.00172338819812,-0.0004573605036628,"50,50,22","1,1,1"
e8n3z,"59.175417, 17.642519","59.17711, 17.64356",1.3,r1_p31,r1_p32,2.5,18.4,23.16066932678223,-0.0029808439529193,-0.000405005383161,350,6
ejdze8,"57.72288, 12.05249","57.725482, 12.032647",1.4,r3_p2,r3_p3,0.7,7.8,14.24204540252686,-0.0004277597285341,-3.838869242510575e-05,120,2
g867y,"59.4263, 15.82768","59.423927, 15.819223",0.8,r3_p43,r3_p44,37.5,17.0,17.99503135681152,-0.0004475458421701,-0.0009872336027833,"50,50,43","1,1,1"
ge3qzn,"59.350714, 18.058547","59.34876, 18.03569",2.5,r1_p37,r1_p38,9.3,4.1,20.57071685791016,-0.0023160278352339,-0.0052534484602744,"120,22","6,6"
ge83rw,"58.43171, 15.66231","58.43239, 15.66351",2.5,r1_p24,r1_p25,10.7,29.9,37.96247482299805,-0.0036521575688951,-0.0013069568642168,150,2
gegdyw,"58.32747, 13.13251","58.327009, 13.133757",0.9,r3_p18,r3_p19,13.1,23.3,73.86359405517578,-0.0004768575601539,-0.000268104458202,"50,50,43","1,1,1"
gexywg,"57.7727, 14.199826","57.772928, 14.195698",0.7,r1_p18,r1_p19,2.8,4.2,92.47418212890624,-0.0009694373423121,-0.0006462915053015,250,20
geyjg6,"57.800538, 12.366844","57.800605, 12.363302",0.2,r3_p3,r3_p4,14.6,17.9,75.19246673583984,0.0037226766843486,0.0030363708140267,"300,6","4,2"
gje9rm,"58.98278, 14.62629","58.981656, 14.623559",0.3,r3_p36,r3_p37,0.3,1.0,105.2623901367188,-0.0100471915381704,-0.0030141113142861,150,4
gjzejn,"58.16351, 13.568705","58.16036669375202, 13.572673401688915 ",0.7,r2_p12,r2_p13,12.5,2.0,237.6453552246094,0.0040555909515788,0.0253500889838176,100,2
j56yj,"58.730361, 16.410728","58.72690, 16.402507",0.9,r1_p26,r1_p27,15.0,13.9,77.07196807861328,0.0044895081336668,0.0048447956278522,"50,50,43","1,1,1"
j5p57,"58.430799, 15.58425","58.43864, 15.57402",1.3,r1_p24,r1_p25,5.4,34.1,38.74942398071289,-0.0070909946022638,-0.0011229049268105,"50,50,43","1,1,1"
