name,easting,northing,latitude,longitude,elevation,speed limit,next,previous,next chargers,dist to next[Km],gradient to next,intersection
startpunkt,0.0,0.0,57.69175,11.978087,45.29450988769531,0,r3_p0,0,0,0.0,0,
r3_p0,0.0,0.0,57.69175,11.978087,45.29450988769531,50.0,r3_p1,startpunkt,,2.8,-0.013393737156525195,1.0
r3_p1,6399176.0,320949.0,57.69905976904028,11.995414437832036,7.793167114257812,70.0,r3_p2,r3_p0,"pgrzxj, kzeg7k, q5rzr7",3.9,0.0017303367837417385,
r3_p2,6401895.0,322602.0,57.72410490648944,12.021105671618184,14.54147720336914,80.0,r3_p3,r3_p1,"ejdze8, 2j6gp5",8.5,0.0007411807121769584,
r3_p3,6403750.0,330908.0,57.74394849025086,12.159075296834365,20.84151268005371,100.0,r3_p4,r3_p2,geyjg6,31.3,0.0024417165942192676,
r3_p4,6421868.0,352670.0,57.91420431485157,12.513099620904653,97.26716613769533,80.0,r3_p5,r3_p3,0,0.3,-0.0005310821782854953,
r3_p5,6422091.0,352842.0,57.91626222037903,12.515861605797904,97.10784149169922,60.0,r3_p6,r3_p4,0,1.1,-0.024639708468937396,
r3_p6,6422879.0,353645.0,57.92359773717068,12.528916494417205,70.00690460205078,40.0,r3_p7,r3_p5,"pg3me2, qkwmp2",0.2,0.0018297205644035308,
r3_p7,6422963.0,353836.0,57.92441417410483,12.532086202099102,70.37284851074219,60.0,r3_p8,r3_p6,0,0.7,-0.0036323300263033393,
r3_p8,6423173.0,354511.0,57.92651940147261,12.543342479852884,67.8302230834961,40.0,r3_p9,r3_p7,drrnky,0.3,0.0007545217594174463,
r3_p9,6423258.0,354742.0,57.92735748765883,12.547186895064952,68.05657958984375,60.0,r3_p10,r3_p8,"635xyy, drrd5g",0.8,-0.0037552349611699115,
r3_p10,6423553.0,355519.0,57.93025724198801,12.560113906619872,65.05239868164062,80.0,r3_p11,r3_p9,0,0.4,0.0011451532959420522,
r3_p11,6423656.0,355904.0,57.9313061549898,12.566546194695349,65.51045989990234,100.0,r3_p12,r3_p10,0,2.0,0.003375853274876773,
r3_p12,6424882.0,357441.0,57.94280262031486,12.591739035495506,72.26215362548828,110.0,r3_p13,r3_p11,0,14.8,0.0021735971400018944,
r3_p13,6433239.0,368938.0,58.02133926245299,12.78115103355256,104.4313659667969,100.0,r3_p14,r3_p12,8n25p3,3.6,0.004499327687460151,
r3_p14,,,58.048302,12.812031,120.6288909912109,100.0,r3_p15,r3_p13,,0.2,-0.04478066629867636,
r3_p15,6436309.0,370950.0,58.04948289600054,12.813502978410735,111.6757507324219,60.0,r3_p16,r3_p14,0,2.5,-0.00614635827923882,1.0
r3_p16,6438744.0,371059.0,58.07136975629161,12.81401295459217,96.30995178222656,50.0,r3_p17,r3_p15,0,0.7,-0.008170899984081078,
r3_p17,6439341.0,371163.0,58.07675830951996,12.815447228006654,90.59038543701172,80.0,r3_p18,r3_p16,0,22.8,-0.0004596472784909213,
r3_p18,6459075.0,380958.0,58.25663323180877,12.97134446119864,80.11042785644531,100.0,r3_p19,r3_p17,"wwgz3, gegdyw",35.2,0.001080366474855842,
r3_p19,6473428.0,410196.0,58.3924355941169,13.463785301477053,118.1393203735352,80.0,r3_p20,r3_p18,0,6.6,-0.00017262429987782756,
r3_p20,6479996.0,410844.0,58.45153726422024,13.472313946131822,117.0,100.0,r3_p21,r3_p19,0,2.0,0.004821307741034728,
r3_p21,6481830.0,411248.0,58.46808560244976,13.478522562126022,126.642578125,110.0,r3_p22,r3_p20,0,10.8,-0.004781738419164365,
r3_p22,6491172.0,415868.0,58.55287718552679,13.55424810019518,75.0,80.0,r3_p23,r3_p21,0,12.7,-0.0003149714484442396,
r3_p23,6500556.0,424292.0,58.6386821234777,13.695830882648126,70.99986267089844,70.0,r3_p24,r3_p22,0,0.6,-0.0023780463697674705,
r3_p24,6500941.0,424808.0,58.642228741784265,13.70458900119164,69.57303619384766,80.0,r3_p25,r3_p23,"dn5y57, 3ydn9k, znjnq3, re8xp3, 3qg2q",17.0,-8.149539723206018e-06,
r3_p25,6510979.0,437587.0,58.734392374345816,13.921916925523242,69.43449401855469,70.0,r3_p26,r3_p24,0,0.8,-0.01179339090009103,
r3_p26,6511408.0,438274.0,58.73834324461239,13.93366347178154,60.0,80.0,r3_p27,r3_p25,0,1.0,-0.0021648042421174166,
r3_p27,6512083.0,439028.0,58.74451146562268,13.946503240086011,57.83519744873047,70.0,r3_p28,r3_p26,0,2.4,0.003234268105099338,
r3_p28,6513952.0,440512.0,58.76150116567292,13.971644027468049,65.59742736816406,100.0,r3_p29,r3_p27,0,6.6,0.00016781662528460938,
r3_p29,6518023.0,445143.0,58.79867099635611,14.050688813014606,66.70501708984375,70.0,r3_p30,r3_p28,0,0.7,0.01212416788033868,
r3_p30,6518097.0,445805.0,58.79941924160103,14.06212514163083,75.19172668457031,100.0,r3_p31,r3_p29,0,9.5,0.00610820834177582,
r3_p31,6522960.0,453576.0,58.843996117862375,14.195579248107965,133.2193450927734,80.0,r3_p32,r3_p30,0,2.0,-0.013674528952162758,
r3_p32,6524672.0,454647.0,58.85948411764311,14.213786802438102,105.8711395263672,100.0,r3_p33,r3_p31,0,4.9,0.010140660534877426,
r3_p33,6527156.0,458862.0,58.88221467720494,14.286389632914306,155.5595245361328,80.0,r3_p34,r3_p32,0,0.8,0.0008797265233849145,
r3_p34,6527425.0,459590.0,58.884699428218845,14.29896808382332,156.2633056640625,100.0,r3_p35,r3_p33,0,20.3,-0.0020416037174145404,
r3_p35,6537567.0,476391.0,58.97703175111852,14.589339674762549,114.8187789916992,80.0,r3_p36,r3_p34,0,1.8,-0.00363460917158742,
r3_p36,6537943.0,478104.0,58.980499472175474,14.619097935382282,108.276496887207,50.0,r3_p37,r3_p35,"d89zg, d9m9ng, gje9rm",1.3,0.0011956731270683046,
r3_p37,6538553.0,479284.0,58.98603631979967,14.63956748272934,109.8308715820312,100.0,r3_p38,r3_p36,0,3.6,0.0008129438659913299,
r3_p38,6540289.0,482458.0,59.0017048,14.694693,112.7574691772461,70.0,r3_p39,r3_p37,0,0.7,0.007844536718260745,
r3_p39,6540569.0,483065.0,59.00430743861969,14.705196350461453,118.2485885620117,100.0,r3_p40,r3_p38,0,4.3,-0.005679628612097854,
r3_p40,6542077.0,486981.0,59.01798730062358,14.773276125458644,93.8263168334961,110.0,r3_p41,r3_p39,8ngk5q,15.3,-0.0018241024783295953,
r3_p41,,,59.071268,15.012572,65.91756439208984,110.0,r3_p42,r3_p40,,20.2,-0.0006781408621972216,
r3_p42,6566333.0,508267.0,59.23593520917542,15.144885738836956,52.21912002563477,90.0,r3_p43,r3_p41,"5nyw3k, 22mr3, znq78r, 397r3j, mm6r6, znj3rm, dpy8q, 62zdzm, nzgwdz, qky58r, wykxw",9.9,-0.0017617302191605892,
r3_p43,6573161.0,513835.0,59.29710673484858,15.242904618113046,34.77799987792969,110.0,r3_p44,r3_p42,"pr9dx, g867y, 68kxj, kez97, 8nrnz8, 6k2qdk, w6jz7",54.5,-0.0004542641227238068,
r3_p44,6599419.0,555495.0,59.52945445227693,15.981057608196329,10.02060604095459,100.0,r3_p45,r3_p43,5wyp3,23.8,0.0005529680854443154,
r3_p45,6605625.0,576900.0,59.58178452523912,16.361602433445828,23.18124580383301,110.0,r3_p46,r3_p44,wqqg2z,4.9,0.0037095793342176303,
r3_p46,6607723.0,581135.0,59.59981754879173,16.437364828588596,41.3581428527832,100.0,r3_p47,r3_p45,"5wd6y, 2z3xx, 99g9re",5.4,0.00038146125870870895,
r3_p47,6609910.0,585487.0,59.61858133372744,16.51531682440676,43.41803359985352,80.0,r3_p48,r3_p46,"qk2rq9, mz973d, x577zg, ky526, 23d6j",4.0,-0.00607442299923549,
r3_p48,6609442.0,588753.0,59.613698552799534,16.57298761764141,19.12049102783203,100.0,r3_p49,r3_p47,x5y7kr,4.7,-0.0007785672101864073,
r3_p49,6609612.0,592765.0,59.61435212008645,16.6441343743046,15.46122550964355,110.0,r3_p50,r3_p48,0,10.5,0.0025343231808994024,
r3_p50,6610966.0,602890.0,59.62413158300112,16.824144739634928,42.07159042358398,120.0,r3_p51,r3_p49,0,13.7,-0.001240258360799061,
r3_p51,6613652.0,615714.0,59.644876478411085,17.052813834708118,25.08005523681641,110.0,r3_p52,r3_p50,"j6r8m, qxdnm, 6yp57, 28npwk",6.3,0.0023985664720427625,
r3_p52,6614267.0,620961.0,59.648487,17.147087,40.19100952148438,70.0,r3_p53,r3_p51,0,0.5,0.003785516243300615,
r3_p53,6614402.0,621430.0,59.6499808444105,17.15456820178888,42.08376312255859,80.0,r3_p54,r3_p52,0,6.1,-0.0033722406734669457,
r3_p54,6615885.0,627322.0,59.661529338769625,17.259914656517186,21.51313400268555,70.0,r3_p55,r3_p53,0,0.7,0.0021240958791208116,
r3_p55,6616245.0,627703.0,59.66464290012404,17.266889216839918,23.0,100.0,r3_p56,r3_p54,0,11.3,0.00026816292468065145,
r3_p56,6625769.0,631619.0,59.748875089186434,17.34230196477152,26.03024101257324,80.0,r3_p57,r3_p55,0,3.1,-0.0011018466102618082,
r3_p57,6627732.0,634024.0,59.7657173735314,17.386315114593888,22.61451721191406,70.0,r3_p58,r3_p56,0,0.4,-0.016516716416816162,
r3_p58,6628033.0,634215.0,59.76835613430046,17.38990551110269,16.00813102722168,80.0,r3_p59,r3_p57,0,4.3,0.001233027571024989,
r3_p59,6631163.0,637078.0,59.79550053738894,17.44288478055766,21.31014823913574,70.0,r3_p60,r3_p58,0,0.5,0.00881932819544222,
r3_p60,6631563.0,637297.0,59.79901657937208,17.447046467014577,25.71975517272949,80.0,r3_p61,r3_p59,0,3.2,0.0012623140588003989,
r3_p61,6633722.0,639583.0,59.81762132353909,17.489189771146133,29.75915908813477,70.0,r3_p62,r3_p60,0,0.5,0.0010496561070546212,
r3_p62,6634108.0,639893.0,59.82097950557984,17.494970909284984,30.28398704528809,80.0,r3_p63,r3_p61,0,4.1,-0.0006238095757869778,
r3_p63,6636842.0,642809.0,59.84450956300851,17.548792439125968,27.72636795043945,70.0,r3_p64,r3_p62,0,2.2,-0.004549305742354056,
r3_p64,6637729.0,644782.0,59.85178032355313,17.584581410230957,17.71792984008789,50.0,r3_p65,r3_p63,0,0.2,-0.004689844157217399,
r3_p65,6637753.0,644906.0,59.85195217419257,17.58680909150345,16.77996444702148,40.0,slutpunkt,r3_p64,0,3.9,0.005425943442508434,
slutpunkt,6635775.0,646523.0,59.83363943735781,17.61424801843739,37.9410400390625,0,0,0,0,0.0,0,